symbol,has_ohlcv,has_volume,has_onchain,has_funding,has_oi
BTC,True,True,False,False,False
ETH,True,True,False,False,False
BNB,False,False,False,False,False
SOL,True,True,False,False,False
XRP,False,False,False,False,False
ADA,False,False,False,False,False
AVAX,False,False,False,False,False
DOT,False,False,False,False,False
MATIC,False,False,False,False,False
LINK,False,False,False,False,False
UNI,False,False,False,False,False
ATOM,False,False,False,False,False
LTC,False,False,False,False,False
ARB,False,False,False,False,False
OP,False,False,False,False,False
AAVE,False,False,False,False,False
MKR,False,False,False,False,False
SNX,False,False,False,False,False
INJ,False,False,False,False,False
FIL,False,False,False,False,False
GRT,False,False,False,False,False
DOGE,False,False,False,False,False
SHIB,False,False,False,False,False
PEPE,False,False,False,False,False
